Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
4676.pgm,10000,65536,39776,60.6934,0.02841,0.076614,59.2877,0.999867
4677.pgm,10000,65536,56784,86.6455,0.02565,0.075653,59.3425,0.999908
4678.pgm,10000,65536,33440,51.0254,0.02067,0.075729,59.3382,0.999892
4679.pgm,10000,65536,20384,31.1035,0.01855,0.076538,59.292,0.999869
4680.pgm,10000,65536,32624,49.7803,0.01989,0.07634,59.3033,0.999859
4681.pgm,10000,65536,40032,61.084,0.0236,0.077133,59.2584,0.999921
4682.pgm,10000,65536,31824,48.5596,0.02344,0.077164,59.2567,0.999778
4683.pgm,10000,65536,33568,51.2207,0.02855,0.077271,59.2507,0.999875
4684.pgm,10000,65536,40688,62.085,0.16014,0.076447,59.2972,0.999878
4685.pgm,10000,65536,25552,38.9893,0.0499,0.07634,59.3033,0.999807
4686.pgm,10000,65536,24624,37.5732,0.02736,0.077316,59.2481,0.999855
4687.pgm,10000,65536,23648,36.084,0.02286,0.07576,59.3364,0.999775
4688.pgm,10000,65536,32480,49.5605,0.0212,0.075989,59.3233,0.999807
4689.pgm,10000,65536,38848,59.2773,0.02138,0.075974,59.3242,0.999858
4690.pgm,10000,65536,17232,26.2939,0.01851,0.077454,59.2404,0.999836
4691.pgm,10000,65536,39392,60.1074,0.02054,0.075439,59.3548,0.999892
4692.pgm,10000,65536,28656,43.7256,0.01922,0.077408,59.243,0.999843
4693.pgm,10000,65536,44096,67.2852,0.03648,0.075928,59.3268,0.999883
4694.pgm,10000,65536,46656,71.1914,0.1955,0.076721,59.2817,0.999824
4695.pgm,10000,65536,43328,66.1133,0.03619,0.075943,59.3259,0.999886
4696.pgm,10000,65536,42800,65.3076,0.02498,0.076508,59.2938,0.99989
4697.pgm,10000,65536,40832,62.3047,0.02114,0.076797,59.2773,0.999878
4698.pgm,10000,65536,24672,37.6465,0.02253,0.076904,59.2713,0.999788
4699.pgm,10000,65536,26656,40.6738,0.02251,0.076675,59.2842,0.99988
4700.pgm,10000,65536,33408,50.9766,0.02311,0.076935,59.2696,0.999788
4701.pgm,10000,65536,32352,49.3652,0.02354,0.075729,59.3382,0.999827
4702.pgm,10000,65536,28208,43.042,0.02557,0.076294,59.3059,0.999842
4703.pgm,10000,65536,10320,15.7471,0.02819,0.076569,59.2903,0.999803
4704.pgm,10000,65536,32560,49.6826,0.04112,0.075974,59.3242,0.999878
4705.pgm,10000,65536,31008,47.3145,0.17844,0.075821,59.3329,0.99981
4706.pgm,10000,65536,44336,67.6514,0.04823,0.076172,59.3129,0.999912
4707.pgm,10000,65536,44896,68.5059,0.03053,0.07666,59.2851,0.999869
4708.pgm,10000,65536,40864,62.3535,0.02597,0.076111,59.3163,0.999821
4709.pgm,10000,65536,53072,80.9814,0.0253,0.076508,59.2938,0.999904
4710.pgm,10000,65536,43648,66.6016,0.02386,0.076202,59.3111,0.999841
4711.pgm,10000,65536,21952,33.4961,0.02282,0.075073,59.376,0.999717
4712.pgm,10000,65536,21968,33.5205,0.03036,0.075897,59.3285,0.99983
4713.pgm,10000,65536,19808,30.2246,0.17204,0.075989,59.3233,0.999752
4714.pgm,10000,65536,35568,54.2725,0.05452,0.077057,59.2627,0.999794
4715.pgm,10000,65536,37568,57.3242,0.02637,0.076523,59.2929,0.999857
4716.pgm,10000,65536,29984,45.752,0.0209,0.075424,59.3557,0.99987
4717.pgm,10000,65536,54416,83.0322,0.02366,0.076309,59.305,0.999909
4718.pgm,10000,65536,11392,17.3828,0.0208,0.076569,59.2903,0.999826
4719.pgm,10000,65536,10368,15.8203,0.02175,0.075806,59.3338,0.999621
4720.pgm,10000,65536,47712,72.8027,0.02782,0.076538,59.292,0.999887
4721.pgm,10000,65536,58816,89.7461,0.0293,0.075317,59.3619,0.999878
4722.pgm,10000,65536,36976,56.4209,0.03248,0.077133,59.2584,0.999855
4723.pgm,10000,65536,34816,53.125,0.05107,0.077698,59.2267,0.999838
4724.pgm,10000,65536,22544,34.3994,0.19748,0.077087,59.261,0.999774
4725.pgm,10000,65536,32848,50.1221,0.05246,0.076355,59.3024,0.999802
4726.pgm,10000,65536,35408,54.0283,0.03439,0.075882,59.3294,0.999834
4727.pgm,10000,65536,27872,42.5293,0.02602,0.076614,59.2877,0.999778
4728.pgm,10000,65536,40464,61.7432,0.02604,0.077301,59.249,0.999871
4729.pgm,10000,65536,30688,46.8262,0.02315,0.07692,59.2704,0.99986
4730.pgm,10000,65536,34592,52.7832,0.02251,0.077271,59.2507,0.999865
4731.pgm,10000,65536,18832,28.7354,0.02157,0.076691,59.2834,0.999781
4732.pgm,10000,65536,13696,20.8984,0.02432,0.076355,59.3024,0.999848
4733.pgm,10000,65536,47056,71.8018,0.07663,0.075836,59.332,0.999874
4734.pgm,10000,65536,63040,96.1914,0.081,0.076889,59.2722,0.999917
4735.pgm,10000,65536,58784,89.6973,0.02961,0.076859,59.2739,0.999905
4736.pgm,10000,65536,44400,67.749,0.02314,0.07576,59.3364,0.999782
4737.pgm,10000,65536,12352,18.8477,0.01803,0.077118,59.2593,0.99974
4738.pgm,10000,65536,30480,46.5088,0.02086,0.076065,59.319,0.999806
4739.pgm,10000,65536,33344,50.8789,0.02014,0.076065,59.319,0.999824
4740.pgm,10000,65536,33184,50.6348,0.01948,0.078384,59.1885,0.999733
4741.pgm,10000,65536,42400,64.6973,0.0235,0.075562,59.3478,0.999875
4742.pgm,10000,65536,23440,35.7666,0.02651,0.076752,59.2799,0.999862
4743.pgm,10000,65536,38816,59.2285,0.1047,0.078049,59.2071,0.999885
4744.pgm,10000,65536,15936,24.3164,0.05676,0.076035,59.3207,0.999759
4745.pgm,10000,65536,50464,77.002,0.03052,0.076019,59.3216,0.999915
4746.pgm,10000,65536,21504,32.8125,0.02091,0.07663,59.2868,0.999791
4747.pgm,10000,65536,59056,90.1123,0.02522,0.076935,59.2696,0.999914
4748.pgm,10000,65536,52624,80.2979,0.02918,0.076004,59.3224,0.999902
4749.pgm,10000,65536,33088,50.4883,0.02685,0.076202,59.3111,0.999745
4750.pgm,10000,65536,58240,88.8672,0.03461,0.077469,59.2395,0.999839
4751.pgm,10000,65536,23088,35.2295,0.03346,0.077347,59.2464,0.999759
4752.pgm,10000,65536,24352,37.1582,0.13574,0.077606,59.2318,0.999802
4753.pgm,10000,65536,30864,47.0947,0.06085,0.075699,59.3399,0.999782
4754.pgm,10000,65536,43760,66.7725,0.03058,0.076019,59.3216,0.99987
4755.pgm,10000,65536,19408,29.6143,0.02011,0.07692,59.2704,0.999875
4756.pgm,10000,65536,37488,57.2021,0.02022,0.075897,59.3285,0.999889
4757.pgm,10000,65536,15360,23.4375,0.01715,0.075912,59.3277,0.999719
4758.pgm,10000,65536,14704,22.4365,0.01855,0.075974,59.3242,0.999873
4759.pgm,10000,65536,41872,63.8916,0.02355,0.076172,59.3129,0.999875
4760.pgm,10000,65536,64304,98.1201,0.02534,0.076584,59.2894,0.99988
4761.pgm,10000,65536,58864,89.8193,0.02542,0.076492,59.2946,0.999912
4762.pgm,10000,65536,46752,71.3379,0.02662,0.075241,59.3663,0.999782
4763.pgm,10000,65536,16896,25.7812,0.02633,0.075348,59.3601,0.999807
4764.pgm,10000,65536,30640,46.7529,0.13154,0.076813,59.2765,0.999827
4765.pgm,10000,65536,15040,22.9492,0.06053,0.076035,59.3207,0.999795
4766.pgm,10000,65536,29168,44.5068,0.02904,0.076218,59.3102,0.999748
4767.pgm,10000,65536,33648,51.3428,0.02307,0.077423,59.2421,0.999887
4768.pgm,10000,65536,23632,36.0596,0.0201,0.076111,59.3163,0.999894
4769.pgm,10000,65536,39264,59.9121,0.02146,0.076691,59.2834,0.999894
4770.pgm,10000,65536,10592,16.1621,0.01981,0.077072,59.2618,0.999805
4771.pgm,10000,65536,45424,69.3115,0.03808,0.076981,59.267,0.999907
4772.pgm,10000,65536,36576,55.8105,0.20239,0.077301,59.249,0.999828
4773.pgm,10000,65536,58336,89.0137,0.0397,0.077606,59.2318,0.999856
4774.pgm,10000,65536,48528,74.0479,0.0263,0.07724,59.2524,0.999904
4775.pgm,10000,65536,33072,50.4639,0.02045,0.076279,59.3068,0.99982
4776.pgm,10000,65536,19856,30.2979,0.01821,0.077271,59.2507,0.999851
4777.pgm,10000,65536,60272,91.9678,0.02678,0.07579,59.3347,0.999874
